Activité,Description,Instructions
Chasse au trésor dans la maison,"Une aventure excitante à l'intérieur, où les enfants cherchent des trésors cachés.","Cachez des objets autour de la maison et créez une carte ou une série d'indices pour les trouver."
Atelier de peinture naturelle,"Utilisation de pigments naturels pour peindre.","Collectez des éléments naturels comme des baies, des épices, et des légumes pour créer des peintures. Utilisez-les pour peindre sur du papier."
Construction de cabanes avec des draps,"Création de cabanes et de forts avec des draps et du mobilier.","Utilisez des draps, des pinces à linge, et des meubles pour construire une cabane."
Cuisine créative,"Préparation de plats simples et créatifs par les enfants.","Choisissez des recettes simples que les enfants peuvent suivre pour créer des plats amusants et sains."
Yoga pour enfants,"Séance de yoga adaptée aux enfants pour promouvoir la détente et l'activité physique.","Utilisez des vidéos ou des applications de yoga pour enfants pour guider une séance."
Fabrication de cerfs-volants,"Atelier pour créer des cerfs-volants personnalisés.","Fournissez des matériaux comme du papier, des bâtons, de la colle, et du fil pour que les enfants puissent construire leurs cerfs-volants."
Jardinage en pot,"Initiation au jardinage avec des plantes en pot.","Choisissez des plantes faciles à entretenir et montrez aux enfants comment planter et s'occuper de leur pot."
Création de bijoux,"Atelier pour fabriquer des bijoux personnalisés.","Fournissez des perles, du fil, et d'autres matériaux pour que les enfants puissent créer leurs propres bijoux."
Atelier d'écriture de contes,"Encouragement à la créativité à travers l'écriture de contes.","Proposez des débuts d'histoires ou des thèmes pour que les enfants développent leur propre conte."
Expériences scientifiques simples,"Réalisation d'expériences scientifiques faciles à la maison.","Choisissez des expériences sûres avec des matériaux domestiques pour explorer des concepts scientifiques."
Observation des étoiles,"Découverte des constellations et des corps célestes.","Utilisez des jumelles ou une application d'astronomie pour observer le ciel nocturne et apprendre sur les étoiles."
Parcours d'obstacles intérieur,"Création d'un parcours d'obstacles à l'intérieur.","Utilisez des coussins, des chaises, et des cordes pour créer un parcours sécuritaire."
Spectacle de marionnettes maison,"Fabrication de marionnettes et création d'un spectacle.","Créez des marionnettes avec des chaussettes ou du papier, puis imaginez un spectacle à présenter."
Atelier de recyclage créatif,"Projets d'art à partir de matériaux recyclés.","Collectez des matériaux recyclables et proposez des idées de projets, comme des sculptures ou des collages."
Séance photo thématique,"Organisation d'une séance photo avec un thème choisi.","Choisissez un thème, créez des déguisements ou des décors, et prenez des photos amusantes."
Initiation à la musique,"Découverte des instruments de musique et des bases de la musique.","Présentez différents instruments, jouez des notes de base et encouragez les enfants à essayer."
Jeux de société éducatifs,"Sélection de jeux de société qui stimulent l'apprentissage.","Choisissez des jeux qui enseignent des compétences comme la stratégie, les mathématiques, ou la lecture."
Apprentissage de la carte de Genève,"Découverte géographique et historique de Genève à travers sa carte.","Utilisez une carte de Genève pour explorer ses quartiers, ses monuments, et son histoire."
Création de cartes postales,"Atelier pour créer des cartes postales personnalisées.","Fournissez du papier, des crayons, et des timbres pour que les enfants puissent créer et envoyer des cartes postales."
Atelier de peinture avec des bulles,"Peindre en utilisant des bulles colorées.","Mélangez du colorant alimentaire ou de la peinture avec une solution à bulles et soufflez sur du papier pour créer des œuvres d'art."
Écrire et illustrer une histoire,"Les enfants créent leur propre livre en écrivant et illustrant une histoire.","Encouragez les enfants à inventer une histoire, puis à dessiner des illustrations correspondantes sur du papier ou à l'aide d'un ordinateur."
Fabrication d'instruments de musique,"Création d'instruments de musique simples avec des matériaux de récupération.","Utilisez des boîtes, des tubes, et d'autres objets recyclables pour fabriquer des instruments comme des tambours, des maracas, ou des flûtes."
